car_num,distance,distance_cum,speed_av,speed_max,operating_time,stop_num,stop_time,stop_rate,drive_time,rpm_max,rpm_av
1191,45,1016962,13.64,56,11876,212,4323,36.4,7553,1640,871
1192,45,1017007,14.52,55,11154,189,3915,35.1,7239,1640,888
1193,43,20074,14.13,60,10956,187,4763,43.47,6193,1661,623
1194,44,20119,12.91,58,12271,216,5685,46.33,6586,1981,678
1195,44,20163,13.65,54,11604,200,4857,41.86,6747,1694,667
1196,22,542233,16.88,51,4693,62,1442,30.73,3251,1260,718
1197,44,542277,13.87,51,11418,210,4455,39.02,6963,1500,732
1198,44,542321,14.93,55,10609,194,3901,36.77,6708,1560,742
1199,43,542364,13.02,53,11888,190,4489,37.76,7399,1440,690
1200,44,542408,14.06,53,11262,176,3642,32.34,7620,1340,685
1201,24,542432,14.8,49,5838,77,1959,33.56,3879,1260,682
1202,22,576901,20.71,57,3824,41,1023,26.75,2801,1760,926
1203,55,576956,17.08,61,11593,161,4113,35.48,7480,1680,870
1204,55,577011,17.24,61,11487,155,3644,31.72,7843,1738,881
1205,54,577065,17.35,53,11204,186,3519,31.41,7685,1674,889
1206,55,577120,14.47,52,13681,204,5009,36.61,8672,1666,851
1207,42,577162,19.16,52,7890,106,2025,25.67,5865,1657,912
1208,25,531007,20.84,55,4319,49,1002,23.2,3317,1585,948
1209,55,531062,16.86,58,11746,186,4085,34.78,7661,1698,869
1210,17,2663,10,54,6117,100,2664,43.55,3453,2640,1105
